iter	Passed	Remaining
894	35849	4205
895	35889	4165
896	35928	4125
897	35966	4085
898	36005	4045
899	36043	4004
900	36082	3964
901	36121	3924
902	36159	3884
903	36197	3844
904	36236	3803
905	36274	3763
906	36312	3723
907	36351	3683
908	36391	3643
909	36429	3602
910	36467	3562
911	36506	3522
912	36543	3482
913	36582	3442
914	36621	3402
915	36660	3361
916	36698	3321
917	36736	3281
918	36773	3241
919	36812	3201
920	36851	3160
921	36890	3120
922	36928	3080
923	36966	3040
924	37004	3000
925	37042	2960
926	37081	2920
927	37119	2879
928	37157	2839
929	37196	2799
930	37235	2759
931	37273	2719
932	37311	2679
933	37352	2639
934	37390	2599
935	37428	2559
936	37467	2519
937	37505	2479
938	37543	2438
939	37582	2398
940	37620	2358
941	37659	2318
942	37697	2278
943	37736	2238
944	37777	2198
945	37816	2158
946	37857	2118
947	37895	2078
948	37934	2038
949	37972	1998
950	38009	1958
951	38048	1918
952	38087	1878
953	38133	1838
954	38174	1798
955	38213	1758
956	38251	1718
957	38290	1678
958	38329	1638
959	38369	1598
960	38408	1558
961	38447	1518
962	38485	1478
963	38524	1438
964	38563	1398
965	38601	1358
966	38639	1318
967	38678	1278
968	38716	1238
969	38755	1198
970	38794	1158
971	38833	1118
972	38873	1078
973	38911	1038
974	38950	998
975	38989	958
976	39027	918
977	39066	878
978	39104	838
979	39142	798
980	39181	758
981	39219	718
982	39258	678
983	39295	638
984	39335	599
985	39374	559
986	39412	519
987	39451	479
988	39490	439
989	39528	399
990	39565	359
991	39603	319
992	39642	279
993	39680	239
994	39718	199
995	39755	159
996	39794	119
997	39832	79
998	39871	39
999	39909	0
